,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
49,0,Coney Island,Brooklyn,40.5755438,-73.9707016,123.71,17,105.98,25,450,100.0,373,2.0,76,0,22.0
50,0,Corona,Queens,40.7449859,-73.8642613,59.17,64,49.3,23,359,40.0,1806,16.0,166,0,28.0
51,2,Crown Heights,Brooklyn,40.6694022,-73.9422324,112.48,1564,122.38,12,2500,85.0,36408,6.0,349,0,23.0
52,0,Cypress Hills,Brooklyn,40.6836873,-73.87963309999999,128.9,135,434.88,19,5000,68.0,4482,15.0,319,0,33.0
53,0,DUMBO,Brooklyn,40.7033164,-73.9881451,196.31,36,83.0,74,400,189.0,1382,2.5,236,0,38.0
54,3,Ditmars Steinway,Queens,40.7797125,-73.90631619999999,95.03,309,64.92,22,600,79.0,7852,6.0,268,0,25.0
55,0,Dongan Hills,Staten Island,40.5906641,-74.088452,79.43,7,38.75,37,155,70.0,158,12.0,63,7,23.0
56,0,Douglaston,Queens,40.76401509999999,-73.7433727,82.75,8,48.45,40,178,65.0,167,16.5,49,9,21.0
57,0,Downtown Brooklyn,Brooklyn,40.6960679,-73.9845407,150.35,83,85.67,39,650,135.0,1188,2.0,131,0,14.0
58,0,Dyker Heights,Brooklyn,40.6214932,-74.00958399999999,93.42,12,51.04,30,170,82.5,415,37.0,69,0,35.0
59,3,East Elmhurst,Queens,40.7737505,-73.8713099,81.18,185,66.1,16,700,60.0,15107,25.0,543,0,82.0
60,3,East Flatbush,Brooklyn,40.6481656,-73.9299899,104.22,500,338.06,15,7500,75.0,12448,8.0,356,0,25.0
61,2,East Harlem,Manhattan,40.7957399,-73.93892129999999,133.2,1117,314.8,30,9999,99.0,36446,9.0,325,0,33.0
62,0,East Morrisania,Bronx,40.8365344,-73.8933509,94.44,9,46.8,55,200,75.0,425,26.0,142,1,47.0
63,3,East New York,Brooklyn,40.6590529,-73.8759245,85.43,218,51.66,25,300,75.0,6759,15.0,209,0,31.0
64,2,East Village,Manhattan,40.7264773,-73.98153370000001,186.08,1852,198.71,10,3750,150.0,44670,5.0,451,0,24.0
65,0,Eastchester,Bronx,40.8859837,-73.82794710000002,141.69,13,127.04,45,475,75.0,157,5.0,41,0,12.0
66,0,Edenwald,Bronx,40.8863969,-73.84119869999999,82.0,13,28.62,42,149,75.0,200,8.0,59,0,15.0
67,0,Edgemere,Queens,40.5942276,-73.7742616,94.73,11,64.96,40,200,65.0,113,2.0,76,0,10.0
68,3,Elmhurst,Queens,40.737975,-73.8801301,80.46,237,62.42,15,443,59.0,5554,6.0,188,0,23.0
69,0,Eltingville,Staten Island,40.5394463,-74.156292,141.67,3,136.43,56,299,70.0,228,83.0,145,0,76.0
70,0,Emerson Hill,Staten Island,40.6074525,-74.0963115,68.2,5,17.71,49,85,78.0,56,2.0,43,0,11.0
71,0,Far Rockaway,Queens,40.5998931,-73.74484369999999,165.86,29,229.29,35,900,63.0,374,5.0,66,0,13.0
72,0,Fieldston,Bronx,40.8964814,-73.9023362,75.08,12,26.64,49,135,67.0,146,8.0,35,1,12.0
73,3,Financial District,Manhattan,40.7077143,-74.00827869999999,225.49,744,168.43,12,3000,200.0,6931,2.0,285,0,9.0
